object_id,creation_time,name,email,last_session_creation_time,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id,adopted_user,first_login,last_login,total_logins,creation_dayofweek,creation_month,creation_year,account_age_days,marketing_interaction,creation_source_ORG_INVITE,creation_source_PERSONAL_PROJECTS,creation_source_SIGNUP,creation_source_SIGNUP_GOOGLE_AUTH,creation_year_month
1,2014-04-22 03:53:30,Clausen August,AugustCClausen@yahoo.com,2014-04-22 03:53:30,1,0,11,10803.0,0,2014-04-22 03:53:30,2014-04-22 03:53:30,1.0,1,4,2014,3653,0,False,False,False,False,2014-04
2,2013-11-15 03:45:04,Poole Matthew,MatthewPoole@gustr.com,2014-03-31 03:45:04,0,0,1,316.0,1,2013-11-15 03:45:04,2014-03-31 03:45:04,14.0,4,11,2013,3811,0,True,False,False,False,2013-11
3,2013-03-19 23:14:52,Bottrill Mitchell,MitchellBottrill@gustr.com,2013-03-19 23:14:52,0,0,94,1525.0,0,2013-03-19 23:14:52,2013-03-19 23:14:52,1.0,1,3,2013,4051,0,True,False,False,False,2013-03
4,2013-05-21 08:09:28,Clausen Nicklas,NicklasSClausen@yahoo.com,2013-05-22 08:09:28,0,0,1,5151.0,0,2013-05-22 08:09:28,2013-05-22 08:09:28,1.0,1,5,2013,3989,0,False,False,False,False,2013-05
5,2013-01-17 10:14:20,Raw Grace,GraceRaw@yahoo.com,2013-01-22 10:14:20,0,0,193,5240.0,0,2013-01-22 10:14:20,2013-01-22 10:14:20,1.0,3,1,2013,4113,0,False,False,False,False,2013-01
6,2013-12-17 03:37:06,Cunha Eduardo,EduardoPereiraCunha@yahoo.com,2013-12-19 03:37:06,0,0,197,11241.0,0,2013-12-19 03:37:06,2013-12-19 03:37:06,1.0,1,12,2013,3779,0,False,False,False,False,2013-12
7,2012-12-16 13:24:32,Sewell Tyler,TylerSewell@jourrapide.com,2012-12-20 13:24:32,0,1,37,0.0,0,2012-12-20 13:24:32,2012-12-20 13:24:32,1.0,6,12,2012,4144,0,False,False,True,False,2012-12
8,2013-07-31 05:34:02,Hamilton Danielle,DanielleHamilton@yahoo.com,0,1,1,74,0.0,0,0,0,0.0,2,7,2013,3918,1,False,True,False,False,2013-07
9,2013-11-05 04:04:24,Amsel Paul,PaulAmsel@hotmail.com,0,0,0,302,0.0,0,0,0,0.0,1,11,2013,3821,0,False,True,False,False,2013-11
10,2013-01-16 22:08:03,Santos Carla,CarlaFerreiraSantos@gustr.com,2014-06-03 22:08:03,1,1,318,4143.0,1,2013-01-16 22:08:03,2014-06-03 22:08:03,284.0,2,1,2013,4113,1,True,False,False,False,2013-01
11,2013-12-26 03:55:54,Paulsen Malthe,MaltheAPaulsen@gustr.com,2013-12-27 03:55:54,0,0,69,0.0,0,2013-12-27 03:55:54,2013-12-27 03:55:54,1.0,3,12,2013,3770,0,False,False,True,False,2013-12
12,2014-04-17 23:48:38,Mathiesen Lærke,LaerkeLMathiesen@cuvox.de,0,0,0,130,9270.0,0,0,0,0.0,3,4,2014,3657,0,True,False,False,False,2014-04
